kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,cwpuvgd1G6z2tHgGnkTZ153-b5U,hXzcyx9V0xw,47734396,230703,0,12552
youtube#video,QBhUUvHgpx2GXWahck8K8A1oYiM,-cT495xKvvs,14761563,300464,0,17254
youtube#video,57C8jdhKV9ipEm5Y2AGeQexHabE,FyCB0ydjP-U,6803,53,0,2
youtube#video,iNnxKzygdIFsYmTBYV27IZMky3Q,CVrtuphrUwE,15079,19,0,0
youtube#video,Xp1PhVQLP4ohUwc1tFV76EXz_XY,5gY5joSmRDY,55200,305,0,17
youtube#video,IcKpN_IYCxR7itwBfN298LOalrg,CLsgH7Ej0QA,21559,1013,0,65
youtube#video,63qBtxYGzSNsqIAhWJfjJmXZnwE,pzjdrbBgHT8,194429,9026,0,363
youtube#video,vDjKn-t6PMaGaMRaOyfDPPklF5g,2S3M1xFVdVg,6969963,51719,0,3622
youtube#video,zkbMQaHw4uXc4lx4hdaeDooR7ys,8AWIF8maEP4,2626164,59675,0,3476
youtube#video,z090ovCYVB8q2wfty4K7ppYMQ-Y,LAOQDg0_y7U,6618,95,0,7
youtube#video,6whv61TGBfDeK2vcVcy0O7F_RZg,6i9EiyP57DI,2174,11,0,0
youtube#video,CfcHt-Nfaph9-R0Ce2EDJmiixTE,5tJUy_N6YXQ,112296,148,0,38
youtube#video,9my-dgc73QmtCnySDzkeZm36bVE,IqvjFpHeHPk,77,1,0,0
youtube#video,8A0q4P7ybrBdRqvuqOMgMM53B8E,yyVMWUM4nwU,103,3,0,2
youtube#video,jugDf1BVxARZYHnILWsZUMOBuCk,PTyncQ-a8g4,2420,42,0,4
youtube#video,-uZsyeKDSqsRHrmDfRUBmDkjbo0,grfxIqy242g,5111,17,0,5
youtube#video,D4Ckg5jDFfK0LCqvHer3E4mJ9vk,Kd4T3ycCj-M,2916,40,0,3
youtube#video,Ab8WHgDO-T3v44THX0asoBVPPvU,C5fUXxWRlzo,67,4,0,0
youtube#video,RVTPSdRTFXL1v-nzRzw0i3B6yLM,E-UXgSbxXn4,74,2,0,0
youtube#video,f-LRyTxqaw8xchuj-vQGYvdZkEo,w6x3cRznBnA,179,4,0,0
youtube#video,O-3Sr38DESgBWalsD2PiO06DaHI,EIYtHkACgfM,120108,667,0,257
youtube#video,CFvIvjBaczvosB_zly0a2Wnm3Uo,-KyOloXFkUY,81068,101,0,8
youtube#video,fDcAi0wXqHXQh4Wfk4yD6bWTZx4,-TiNbhf91GQ,31283,836,0,71
youtube#video,893qHQCxzebu2E097WoaqZowOp4,m8bpS4ad0pY,12340,99,0,14
youtube#video,nlu-pq21lIywERvYjvA_wAkQDMc,YTNbgjOO_xc,39044,13,0,1
youtube#video,pTXQ1F7dDy2RXe9m2sqnAlTUCPk,HYOpnjhQlJg,6718,359,0,22
youtube#video,B58qjOtXDsCmZkF92XfL6whxDVI,L8JD139mHIk,126661,304,0,98
youtube#video,QqUvO93e8uJx5jqLNnlxYKAI_R4,DLZ7PfxGwyc,638967,28558,0,2699
youtube#video,485b3LOw1cbE3U_5_PKhifXqmto,8YV2hzjGjJw,120913,2709,0,256
youtube#video,yS4ANafvQ2heOAeJ4MVxGIOkEQE,Rt33T_hykfs,51322,998,0,80
youtube#video,Zj3UcdumDz6h8CPP6JriMmxHRzo,DTUcaDb-2r0,165034,1160,0,216
youtube#video,yoitbCnTXr3wxT90hfKP3TK3_wo,7U6QLXDivv4,39641,782,0,88
youtube#video,DJvg8fFy4re1JJmh9c2YdrIIP4Q,Y9RfhbH0GEQ,363429,8199,0,1040
youtube#video,OH2woPTOOOOXztv5RCiT3zKhQXI,a7LknNfORNI,214888,3251,0,334
youtube#video,lDbt-3xn8nnVmlRE6rYCpe7dSbs,p1Fafb702Vo,44504,2611,0,218
youtube#video,we_WGstOI2VHVXJM5neVVIGb0O0,2OiqqiG3pyM,51947,3633,0,277
youtube#video,CYg1RlWnWyl1y0uH7eVbxzO6IR8,GRAkxHVNu9s,37774,272,0,15
youtube#video,BN8PsxTnXyIFuBPO6_Neh4JF-ME,ZFQ7pYcbbis,193395,1729,0,127
youtube#video,nI7p52JEj3ECqU3RcAx4O0IKN5w,jprhe-cWKGs,16922487,218886,0,14762
youtube#video,ikzDnwdmVZKZKsnI5ELygyG1a7M,obwv4OEKjyg,152184,5116,0,529
youtube#video,K3-G-cvV-Mnmd4wFgWVIBizK8do,r51cYVZWKdY,32554887,267221,0,21016
youtube#video,eNMuRHMsNcoeiZiGNrgQR6Ohgy8,xMxUg7IV_dk,998980,65065,0,1061
youtube#video,2h2FArG4TY7nWqWCbV813-xul_M,M0zdJOM_5Vg,1454225,41199,0,1897
youtube#video,okZgqWNaLFsilRqe72cL5Bpzgtc,hebWYacbdvc,21076895,273719,0,23455
youtube#video,gANe9si2sXR65XqO5wabzO3SHGQ,qWG4EIT9CHU,283,3,0,0
youtube#video,ixr-TlnF6apZfuuX7DLnSTgjdtg,P5nqdL8m7sY,136,4,0,0
youtube#video,Xx6_MRsWKJqholUGwZiT8o3wjZg,cGOWVn1NoHc,2364,75,0,4
youtube#video,9TeW9EL92x7LTIg7wssrzGjElIk,sSiYx6Cn2-s,99,4,0,
youtube#video,-Z9HD9j07sE7EtvfK2F7k13gQWE,3FI1swxgW94,189,2,0,0
youtube#video,xNH9fRHywhbzZNkb5tEUOP6fsFA,aSfI1x7Zodw,6048,60,0,20
youtube#video,NLnbjASUJj1G2EcnbFBEClFJ874,DQfZ04JqY-g,219,2,0,0
youtube#video,pMve6pO9vGOAt7WA6a5qoOn3CEE,xO_Hd9xO7xw,203436,3371,0,184
youtube#video,fOTEKYg0xcYle0QYEpR4rJ-TKyw,uv_CK7EdT04,2972,104,0,0
youtube#video,E2M9iBfxkbAAAfYAWq9ObhTKaCI,z73mh1jtYzU,799,5,0,0
youtube#video,beaC8gdslUj4Ipb_Qrp5ZcgV0_c,2Z-iDBrj5gI,42057,714,0,48
youtube#video,OspBmT_-QopomMj98ZqlxymhsXo,AFPLRIdn1pk,6330061,511512,0,11054
youtube#video,dMFbiR9nTWyB5VfjjS96Oz5dCUw,H8R1UjvXQ5c,374393,4852,0,237
youtube#video,VOXQ_XwVdIUdMIBSBWZvM_ZQsOI,0bgjTOcJfzE,27084,149,0,19
youtube#video,UvCxNMZDz_FIyyW-tRxhBg7y13o,Nqdytgoj4h0,3058,11,0,
youtube#video,kK-K4ilB4pM4JMlBjhiKs8e-fzI,gb4uAr1pztI,26629,172,0,10
youtube#video,WqBnZfy1ayzkvDi2C5Lkb4ftKlM,pCk4IVanR54,868,13,0,2
youtube#video,WTL-13OY_38-Xodw3Oq5MUZQ_6Q,_AMI4iBHflA,126,15,0,2
youtube#video,aKmxO-OYm6ofsIJIVvwm7nG-Xjo,IbLJ8yCFuP4,45,4,0,1
youtube#video,Sp1iNLxJMPCeSI53LmMD7j5Rb2s,u8le7s4YkhE,1423,14,0,0
youtube#video,R4-6AeGrrqUkRdxjt8XaxPzARLE,-hF0SOHMcQ0,984,4,0,1
youtube#video,DVJE-kS--ccazlTc1FlhUvbs4vM,Ccc2wmdoWAc,42,2,0,0
youtube#video,Zhk2q4OM3bJTR1fP8xc5KCWNXio,KwqZ-QrhY9A,7388,83,0,3
youtube#video,xFdsCtNuzxbSg11OoTtpMcwwn44,iJcbs7TJJL8,95831,4693,0,186
