collection_id,name,number_movies_before_2020,avg_popularity_before_2020,insertion_datetime
950960,Tales of the Bizarre,38,1.6478421052631578,2024-04-07 14:12:17.081514
1135368,Volumes of Blood Collection,3,0.997,2024-04-07 14:12:17.081514
442937,The Werewolf Game,10,3.5626,2024-04-07 14:12:17.081514
1018135,"Son's Girlfriend, Daddy's Girlfriend Collection",0,,2024-04-07 14:12:17.081514
1211731,100 Candles Game Collection,0,,2024-04-07 14:12:17.081514
827672,Date A Bullet - Saga,0,,2024-04-07 14:12:17.081514
1155526,"Good Morning, Neighbor Collection",6,0.7305,2024-04-07 14:12:17.081514
910707,Julemandens Datter (Samling),1,2.596,2024-04-07 14:12:17.081514
847594,Avenger Dogs,1,1.966,2024-04-07 14:12:17.081514
1181999,Die Usedom-Krimi Filmreihe,10,1.3116,2024-04-07 14:12:17.081514
980632,Bennett's Song Collection,1,1.872,2024-04-07 14:12:17.081514
853316,Adultery Alumni Association,2,27.4375,2024-04-07 14:12:17.081514
1137379,Symphonic Hip Hop,4,0.6,2024-04-07 14:12:17.081514
1070035,The Inspired Island (Series),13,0.711076923076923,2024-04-07 14:12:17.081514
980781,Medusa Collection,0,,2024-04-07 14:12:17.081514
1018323,Watcher Girl Collection,1,4.067,2024-04-07 14:12:17.081514
1170143,The Shortest Distance is Round Collection,1,4.401,2024-04-07 14:12:17.081514
279715,Beck Collection,38,3.644,2024-04-07 14:12:17.081514
704438,Barbie & Kendra Collection,0,,2024-04-07 14:12:17.081514
780033,True to the Game Collection,1,3.793,2024-04-07 14:12:17.081514
645991,Cattle Hill Collection,1,5.922,2024-04-07 14:12:17.081514
1205346,Sara's School Life Collection,0,,2024-04-07 14:12:17.081514
982913,The Haunted Collection,3,1.6186666666666667,2024-04-07 14:12:17.081514
642638,The Elf on the Shelf Collection,3,2.9736666666666665,2024-04-07 14:12:17.081514
1040578,Honto ni Atta Kowai Hanashi Collection,14,1.0909999999999995,2024-04-07 14:12:17.081514
1227698,Altaussee-Krimi Filmreihe,0,,2024-04-07 14:12:17.081514
843827,Pretty Cure Movie Collection,32,5.268781250000001,2024-04-07 14:12:17.081514
796186,Par un regard Collection,2,0.688,2024-04-07 14:12:17.081514
1011738,Solitary Gourmet Collection,7,0.8920000000000001,2024-04-07 14:12:17.081514
1223031,Kamal Kharmach: Mag ik even?,1,1.4,2024-04-07 14:12:17.081514
1090839,Mo Willems Pigeon Collection,5,0.6996,2024-04-07 14:12:17.081514
122123,Three Heroes Collection,9,7.775222222222222,2024-04-07 14:12:17.081514
782228,陈翔六点半（系列）,3,1.0633333333333332,2024-04-07 14:12:17.081514
708574,When Mom Is Away,1,11.757,2024-04-07 14:12:17.081514
845586,Finding Jesus Collection,0,,2024-04-07 14:12:17.081514
1152709,Blind ermittelt,3,1.2593333333333332,2024-04-07 14:12:17.081514
916696,Death to Collection,0,,2024-04-07 14:12:17.081514
527950,"Shake, Rattle & Roll Collection",15,2.0460000000000003,2024-04-07 14:12:17.081514
1115464,Sniping Collection,1,0.6,2024-04-07 14:12:17.081514
385863,F.C. De Kampioenen Collectie,4,2.40925,2024-04-07 14:12:17.081514
784046,Mang Kepweng Collection,1,1.086,2024-04-07 14:12:17.081514
715872,Moschettieri del Re - Collezione,1,6.773,2024-04-07 14:12:17.081514
661031,Pokémon (Alternate Continuity) Collection,2,33.771,2024-04-07 14:12:17.081514
727089,Sharkboy and Lavagirl Collection,1,37.213,2024-04-07 14:12:17.081514
1261335,A Sogra Perfeita,0,,2024-04-07 14:12:17.081514
879199,Asih Collection,1,2.828,2024-04-07 14:12:17.081514
1129560,Cheeni Collection,0,,2024-04-07 14:12:17.081514
762278,Shock Wave Collection,1,17.91,2024-04-07 14:12:17.081514
918492,Simon Predj Spéciaux de Naël Collection,0,,2024-04-07 14:12:17.081514
958299,Revue Starlight ―The LIVE Collection―,2,2.1885000000000003,2024-04-07 14:12:17.081514
621865,Familie  Bundschuh Filmreihe,4,1.31425,2024-04-07 14:12:17.081514
1066800,张杰演唱会,4,0.68,2024-04-07 14:12:17.081514
842472,The Essence Collection,2,1.5779999999999998,2024-04-07 14:12:17.081514
728242,Harter Brocken,4,1.78625,2024-04-07 14:12:17.081514
1110545,Misfit Collectie,2,3.2415000000000003,2024-04-07 14:12:17.081514
468552,Wonder Woman Collection,1,82.826,2024-04-07 14:12:17.081514
785851,Reveries Collection,1,0.6,2024-04-07 14:12:17.081514
1146644,Small Town Monsters Collection,10,1.2296999999999998,2024-04-07 14:12:17.081514
916669,A California Christmas Collection,0,,2024-04-07 14:12:17.081514
1074160,Den Ace Collection,16,0.7679374999999998,2024-04-07 14:12:17.081514
796086,The Landry Collection,0,,2024-04-07 14:12:17.081514
660967,Allmen Collection,3,1.936,2024-04-07 14:12:17.081514
1139039,Horror in the High Desert Collection,0,,2024-04-07 14:12:17.081514
467577,Evil Bong Collection,9,3.673111111111111,2024-04-07 14:12:17.081514
610041,Girls und Panzer das Finale,2,8.7965,2024-04-07 14:12:17.081514
1059588,Irish Crime,2,1.097,2024-04-07 14:12:17.081514
894179,Penunggang Agama Collection,0,,2024-04-07 14:12:17.081514
910708,Titisan Setan,1,2.524,2024-04-07 14:12:17.081514
595693,Peter Rabbit Collection,1,48.36,2024-04-07 14:12:17.081514
1200346,Ecstasy Cats,0,,2024-04-07 14:12:17.081514
794702,兴风作浪（系列）,1,0.6,2024-04-07 14:12:17.081514
1248912,-spiracy Collection,1,14.632,2024-04-07 14:12:17.081514
535313,Godzilla Collection,2,363.1455,2024-04-07 14:12:17.081514
819203,The Haikyuu!! Stage Collection,7,1.4309999999999998,2024-04-07 14:12:17.081514
811885,Deadly Excursion Collection,1,7.099,2024-04-07 14:12:17.081514
1129084,Nobody Collection,0,,2024-04-07 14:12:17.081514
1214076,Пальма,0,,2024-04-07 14:12:17.081514
1253056,老闆娘 (系列),0,,2024-04-07 14:12:17.081514
1068160,The Male Gaze  Collection,2,3.011,2024-04-07 14:12:17.081514
1186769,60 Seconds to Die Collection,2,1.2775,2024-04-07 14:12:17.081514
955150,Navarasa,7,1.5134285714285711,2024-04-07 14:12:17.081514
961776,The Shimajiro Movie Collection,7,3.874428571428571,2024-04-07 14:12:17.081514
861207,The Executioner (2021) collection,0,,2024-04-07 14:12:17.081514
972513,Dark Web Collection,1,4.137,2024-04-07 14:12:17.081514
941693,Yes Day Collection,0,,2024-04-07 14:12:17.081514
1145064,Dinesh Vijan's horror-comedy universe,1,9.915,2024-04-07 14:12:17.081514
705370,Beauty Salon: Special Service Series,3,20.495,2024-04-07 14:12:17.081514
210303,Rebuild of Evangelion Collection,3,31.60033333333333,2024-04-07 14:12:17.081514
39326,Initial D,5,7.5268,2024-04-07 14:12:17.081514
879516,The Secret,1,2.63,2024-04-07 14:12:17.081514
868700,Aria - Blue Curtain Call Trilogy,1,4.565,2024-04-07 14:12:17.081514
